STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,Measurement Flag,Quality Flag,Source Flag,Time of Observation,MDSF,Measurement Flag,Quality Flag,Source Flag,Time of Observation,DAPR,Measurement Flag,Quality Flag,Source Flag,Time of Observation,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT05,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT11,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT03,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070201,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,229, , ,0,9999,0,P, ,0,9999,-17, , ,0,0800,-267, , ,0,0800,-256, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070202,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,229, , ,0,9999,0,P, ,0,9999,-67, , ,0,0800,-278, , ,0,0800,-206, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070203,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,-50, , ,0,0800,-211, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070204,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,22, , ,0,0800,-222, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070205,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,203, , ,0,9999,0,P, ,0,9999,33, , ,0,0800,-200, , ,0,0800,-172, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070206,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,203, , ,0,9999,0,P, ,0,9999,39, , ,0,0800,-189, , ,0,0800,-172, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070207,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,203, , ,0,9999,0,P, ,0,9999,44, , ,0,0800,-172, , ,0,0800,-144, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070208,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,203, , ,0,9999,0,P, ,0,9999,61, , ,0,0800,-194, , ,0,0800,-189, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070209,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,203, , ,0,9999,0,P, ,0,9999,83, , ,0,0800,-183, , ,0,0800,-128, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070210,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,56, , ,0,0800,-150, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070211,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,61, , ,0,0800,-133, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070212,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,178, , ,0,9999,0,T, ,0,9999,83, , ,0,0800,-161, , ,0,0800,-67, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070213,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,178, , ,0,9999,0,P, ,0,9999,50, , ,0,0800,-156, , ,0,0800,-133, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070214,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,178, , ,0,9999,0,T, ,0,9999,6, , ,0,0800,-156, , ,0,0800,-144, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070215,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,178, , ,0,9999,0,T, ,0,9999,-6, , ,0,0800,-156, , ,0,0800,-94, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070216,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,178, , ,0,9999,0,P, ,0,9999,-6, , ,0,0800,-144, , ,0,0800,-117, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070217,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,-11, , ,0,0800,-150, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070218,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,T, ,0,9999,39, , ,0,0800,-111, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070219,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,56, , ,0,0800,-111, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070220,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,152, , ,0,9999,0,T, ,0,9999,56, , ,0,0800,-194, , ,0,0800,-133, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070221,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,152, , ,0,9999,0,P, ,0,9999,72, , ,0,0800,-194, , ,0,0800,-144, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070222,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,152, , ,0,9999,0,P, ,0,9999,72, , ,0,0800,-156, , ,0,0800,-133, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
